item_code,name,material_type,brand,finish,substrate,thickness,area_cost,area_handling_cost,area_assembly_cost,source_supplier,source_url,sample_image_url,thumbnail_url
MEGM12BLGS3607,MEGANITE Blanca Granite,solid_surface_sheet,MEGANITE,blanca granite,Solid Surface,12,285.81,0,0,ForestOne,https://forest.one/media/catalog/product/b/l/blanca-granite.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/blanca-granite-701a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/blanca-granite-701a.jpg
MEGM20BRWS3009,MEGANITE Bright White (NEW),solid_surface_sheet,MEGANITE,bright white,Solid Surface,20,383.77,0,0,ForestOne,https://forest.one/media/catalog/product/b/r/bright-white-001a-800px.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/bright-white-001a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/bright-white-001a.jpg
MEGM20BRWS3012,MEGANITE Bright White (NEW),solid_surface_sheet,MEGANITE,bright white,Solid Surface,20,392.65,0,0,ForestOne,https://forest.one/media/catalog/product/b/r/bright-white-001a-800px.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/bright-white-001a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/bright-white-001a.jpg
MEGM12BRWS3607,MEGANITE Bright White,solid_surface_sheet,MEGANITE,bright white,Solid Surface,12,214.98,0,0,ForestOne,https://forest.one/media/catalog/product/b/r/bright-white-001a-800px.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/bright-white-001a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/bright-white-001a.jpg
MEGM12CHCS3607,MEGANITE Charcoal Concrete,solid_surface_sheet,MEGANITE,charcoal concrete,Solid Surface,12,375.32,0,0,ForestOne,https://forest.one/media/catalog/product/c/c/cconc_copy_1.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/charcoal-concrete-m023.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/charcoal-concrete-m023.jpg
MEGM20CICS3009,MEGANITE Cinder Concrete (NEW),solid_surface_sheet,MEGANITE,cinder concrete,Solid Surface,20,445.04,0,0,ForestOne,https://forest.one/media/catalog/product/c/i/cinder.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cinder-concrete-302a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cinder-concrete-302a.jpg
MEGM20CICS3012,MEGANITE Cinder Concrete (NEW),solid_surface_sheet,MEGANITE,cinder concrete,Solid Surface,20,461.66,0,0,ForestOne,https://forest.one/media/catalog/product/c/i/cinder.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cinder-concrete-302a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cinder-concrete-302a.jpg
MEGM12CICS3607,MEGANITE Cinder Concrete,solid_surface_sheet,MEGANITE,cinder concrete,Solid Surface,12,285.81,0,0,ForestOne,https://forest.one/media/catalog/product/c/i/cinder.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cinder-concrete-302a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cinder-concrete-302a.jpg
MEGM12CLAS3607,MEGANITE Cloud Ash,solid_surface_sheet,MEGANITE,cloud ash,Solid Surface,12,285.81,0,0,ForestOne,https://forest.one/media/catalog/product/c/l/cloud-ash-041a-800px.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cloud-ash-041a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cloud-ash-041a.jpg
MEGM12COBS3607,MEGANITE Cotton Boulder,solid_surface_sheet,MEGANITE,cotton boulder,Solid Surface,12,375.32,0,0,ForestOne,https://forest.one/media/catalog/product/c/o/cotton-b.png,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cotton-boulder-846a.png,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/cotton-boulder-846a.png
MEGM12CRRS3607,MEGANITE Crater Rock,solid_surface_sheet,MEGANITE,crater rock,Solid Surface,12,375.32,0,0,ForestOne,https://forest.one/media/catalog/product/c/r/crater_rock.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/crater-rock-m604.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/crater-rock-m604.jpg
MEGM12CRRS3612,MEGANITE Crater Rock,solid_surface_sheet,MEGANITE,crater rock,Solid Surface,12,397.07,0,0,ForestOne,https://forest.one/media/catalog/product/c/r/crater_rock.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/crater-rock-m604.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/crater-rock-m604.jpg
MEGM12DJBS3607,MEGANITE Dark Jet Black,solid_surface_sheet,MEGANITE,dark jet black,Solid Surface,12,285.81,0,0,ForestOne,https://forest.one/media/catalog/product/d/a/dark-jet-black-019x-800px.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/dark-jet-black-019x.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/dark-jet-black-019x.jpg
MEGM12DRBS3607,MEGANITE Dark Raven Boulder,solid_surface_sheet,MEGANITE,dark raven boulder,Solid Surface,12,375.32,0,0,ForestOne,https://forest.one/media/catalog/product/d/a/dark_ravenb.png,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/dark-raven-boulder-810x.png,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/dark-raven-boulder-810x.png
MEGM12DSNS3607,MEGANITE Dark Starry Night,solid_surface_sheet,MEGANITE,dark starry night,Solid Surface,12,336.5,0,0,ForestOne,https://forest.one/media/catalog/product/s/t/starry.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/dark-starry-night-508xs.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/dark-starry-night-508xs.jpg
MEGM12FIRS3607,MEGANITE Fire,solid_surface_sheet,MEGANITE,fire,Solid Surface,12,285.81,0,0,ForestOne,https://forest.one/media/catalog/product/f/i/fire-088a-800px.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/fire-088a.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/fire-088a.jpg
MEGM12HACS3607,MEGANITE Hazel Cream,solid_surface_sheet,MEGANITE,hazel cream,Solid Surface,12,375.32,0,0,ForestOne,https://forest.one/media/catalog/product/h/a/hazel-cream-.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/hazel-cream-m039.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/hazel-cream-m039.jpg
MEGM12ICSS3607,MEGANITE Ice Storm,solid_surface_sheet,MEGANITE,ice storm,Solid Surface,12,285.81,0,0,ForestOne,https://forest.one/media/catalog/product/i/c/ice.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/ice-storm-721sa.jpg,/data/bower-supplier-catalog/assets/forest-one/finishes/meganite/ice-storm-721sa.jpg
